geolocation_zip_code_prefix,Count,Avg_lat,Avg_lng
1189,1,-23.53210826,-46.6383947
1200,1,-23.53156777,-46.64986908
1262,1,-23.55085639,-46.67735185
1290,1,-23.54096134,-46.6577487
2009,1,-23.5157991,-46.64113909
2088,1,-23.50424026,-46.62074207
2146,1,-23.50095702,-46.57088226
2286,1,-23.40858677,-46.57960324
2577,1,-23.48818295,-46.67890394
2643,1,-23.46809878,-46.65037805
2653,1,-23.45343176,-46.65837495
2888,1,-23.46593153,-46.67485349
2829,1,-23.49505725,-46.70260061
2909,1,-23.50713262,-46.69891026
2988,1,-23.60844355,-46.74037146
3036,1,-23.51964923,-46.61859872
3194,1,-23.56788989,-46.57394822
3252,1,-23.60924715,-46.54230642
3231,1,-23.65080247,-46.65849944
3301,1,-23.54330214,-46.58282993
3601,1,-23.51455854,-46.52108947
3831,1,-23.58705153,-46.5803211
3840,1,-23.60153821,-46.46167529
4229,1,-23.60629658,-46.59298349
4239,1,-23.62329422,-46.58301882
4479,1,-23.66023431,-46.72039021
4448,1,-23.75089809,-46.70457605
4778,1,-23.63223359,-46.70564659
4808,1,-23.71410367,-46.7046042
4886,1,-23.83466196,-46.75797448
4955,1,-23.76218298,-46.68431269
5224,1,-23.41306019,-46.74366315
5279,1,-23.5427985,-46.577862
5310,1,-23.54333639,-46.73492199
5369,1,-23.57055395,-46.74469365
5400,1,-23.55697379,-46.67603639
5693,1,-23.62018184,-46.70281581
5770,1,-23.64853648,-46.75895003
5828,1,-23.6684979,-46.74165737
6037,1,-23.55503702,-46.77326263
6102,1,-23.54946788,-46.81297819
6387,1,-23.55134994,-46.83514189
6379,1,-23.53484203,-46.85972267
6424,1,-23.49590147,-46.8746867
6480,1,-23.48801831,-46.85551054
6517,1,-23.47611023,-46.9339743
6610,1,-23.52418607,-46.92088103
6650,1,-23.544589,-46.9351587
6684,1,-23.53893665,-46.94224678
6633,1,-23.53055324,-46.88623979
6673,1,-23.554944,-46.9119465
6648,1,-23.54852188,-46.86708654
6738,1,-23.64615211,-47.0027957
6881,1,-23.7443115,-46.91809949
6818,1,-23.64204802,-46.83752624
7283,1,-23.43931592,-46.46090001
7431,1,-23.41941854,-46.35509013
7443,1,-23.41840955,-46.30508808
7422,1,-23.38862437,-46.35467718
7712,1,-23.35553677,-46.74574703
7705,1,-23.65961406,-46.4757847
7767,1,-23.33558604,-46.92622236
7768,1,-23.33531199,-46.91458588
7778,1,-23.36158076,-46.87233906
7764,1,-23.37668144,-46.92680492
7868,1,-23.303133,-46.743399
7811,1,-23.31538616,-46.77828873
7988,1,-23.279315,-46.74185832
7989,1,-23.29753199,-46.71472335
7905,1,-23.28955483,-46.76289362
7921,1,-23.27257383,-46.76077311
7934,1,-23.28444633,-46.75072476
7935,1,-23.25957365,-46.74083141
8233,1,-23.52581606,-46.47272284
8404,1,-23.5296774,-46.40945968
8515,1,-23.57729927,-46.37411021
8509,1,-23.56801226,-46.35975827
8514,1,-23.5680804,-46.3672293
8513,1,-23.57657957,-46.3652772
8585,1,-23.48885833,-46.3545137
8517,1,-23.56892589,-46.37242831
8689,1,-23.52886814,-46.31457858
8779,1,-23.35879729,-46.15837919
8832,1,-23.51691365,-46.10417246
9161,1,-23.7665659,-46.45937452
9124,1,-23.73683378,-46.47911796
9238,1,-23.66400268,-46.52309421
9274,1,-23.65660447,-46.49759384
9389,1,-23.63032246,-46.47923058
9414,1,-23.74739673,-46.43678877
9413,1,-23.73952282,-46.43177634
9680,1,-23.66460164,-46.58159516
9602,1,-23.66197746,-46.56459334
9611,1,-23.66209575,-46.57029866
9696,1,-23.67487,-46.55762
9869,1,-23.72264479,-46.57386289
9838,1,-23.84327619,-46.56423456
11031,1,-23.93304735,-46.32555732
